Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
ALLK;1872547;USD;2018;FY;2018-12-31;2019-03-14;2021-03-01;58169000;58169000;;;;-45721000;-12434000;-33287000;;-45721000;2183000;2375000;-43538000;;-43538000;;-43538000;;-43538000;-43538000
ALLK;1872547;USD;2019;FY;2019-12-31;2020-02-25;2022-03-01;58169000;58169000;;;;-91418000;-29560000;-61858000;;-91418000;6046000;6201000;-85372000;;-85372000;;-85372000;;-85372000;-85372000
ALLK;1872547;USD;2020;FY;2020-12-31;2021-03-01;2023-03-06;58169000;58169000;;;;-157057000;-51524000;-105533000;;-157057000;3577000;4313000;-153480000;;-153480000;;-153480000;;-153480000;-153480000
ALLK;1872547;USD;2021;FY;2021-12-31;2022-03-01;2023-03-06;58169000;58169000;;;;-271475000;-75147000;-196328000;;-271475000;1615000;377000;-269860000;;-269860000;;-269860000;;-269860000;-269860000
ALLK;1872547;USD;2022;FY;2022-12-31;2023-03-06;2024-03-14;63284000;63284000;;;;-322429000;-57348000;-265081000;;-322429000;2477000;3673000;-319952000;;-319952000;;-319952000;;-319952000;-319952000
ALLO;11795212;USD;2018;FY;2018-12-31;2019-03-08;2021-02-25;28948386;28948386;;;;-192842000;-40982000;-151860000;;-192842000;2431000;-3358000;-190411000;-21211000;-211622000;117000;-211505000;;-211505000;-211505000
ALLO;11795212;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;101061149;101061149;;;;-202008000;-57473000;-144535000;;-202008000;17083000;;-184925000;;-184925000;331000;-184594000;;-184594000;-184594000
ALLO;11795212;USD;2020;FY;2020-12-31;2021-02-25;2023-02-28;120370177;120370177;;;;-258243000;-65256000;-192987000;;-258243000;8022000;;-250221000;;-250221000;;-250221000;;-250221000;-250221000
ALLO;11795212;USD;2021;FY;2021-12-31;2022-02-23;2024-03-14;135820386;135820386;38489000;;;-294281000;-74105000;-220176000;;-255792000;-1213000;;-257005000;;-257005000;;-257005000;;-257005000;-257005000
ALLO;11795212;USD;2022;FY;2022-12-31;2023-02-28;2024-03-14;143147165;143147165;243000;;;-335692000;-79305000;-256387000;;-335449000;2817000;;-332632000;;-332632000;;-332632000;;-332632000;-332632000
ALLR;11036325;USD;2020;FY;2020-12-31;2021-05-17;2022-05-17;201896;201896;;;;-8319000;-4101000;-4218000;;-8319000;-258000;-320000;-8577000;2158000;-6419000;-198000;-6617000;;-6602000;-6602000
ALLR;11036325;USD;2021;FY;2021-12-31;2022-05-17;2023-03-13;4542;4542;;;;-26556000;-12360000;-14196000;;-26556000;-1941000;-499000;-28497000;1982000;-26515000;-133000;-26648000;;-26648000;-26648000
ALMU;13774412;USD;2020;FY;2020-12-31;2021-03-30;2022-09-28;560586;560586;;;;-11670;-11670;;;-11670;-1000;-1000;-12670;;-12670;-800;-13470;;-13470;-13470
ALNA;9076242;USD;2018;FY;2018-12-31;2019-03-07;2021-03-11;20741226;20741226;;;;-35593000;-9217000;-26376000;;-35593000;562000;575000;-35031000;-617000;-35648000;;-35648000;;-35648000;-35648000
ALNA;9076242;USD;2019;FY;2019-12-31;2020-03-16;2022-03-31;22180868;22180868;;;;-46920000;-9676000;-37244000;;-46920000;186000;;-46734000;-605000;-47339000;;-47339000;;-47339000;-47339000
ALNA;9076242;USD;2020;FY;2020-12-31;2021-03-11;2022-03-31;32506679;32506679;;;;-31986000;-11603000;-20383000;;-31986000;-859000;;-32845000;;-32845000;;-32845000;;-32845000;-32845000
